slug,bandcamp_url,actual_track_count,status
napalm-jazz-scream---improvisa--es,https://antenaartbr.bandcamp.com/album/148-improvisa-es,4,updated
orlando-scarpa-neto---transporte-p-blico,https://orlandoscarpa.bandcamp.com/album/transporte-p-blico,5,updated
o-cerne---interfer-ncias-desviver,https://ocerne.bandcamp.com/album/interfer-ncias-desviver,4,updated
os-capiau-brasil-2015,https://oscapiau.bandcamp.com/album/brasil,5,updated
ontem---muito-longe-daqui---ontem---muito-longe-daqui,https://ontememuitolongedaqui.bandcamp.com/album/ontem-muito-longe-daqui,9,updated
ostra-brains-gelato-luv-ep-2015,https://ostrabrains.bandcamp.com/album/gelato-luv-ep,8,updated
outdeth-prediction,https://outdeth.bandcamp.com/album/prediction,10,updated
prefeitura-do-rio-prefeitura-2021,https://prefeiturarjdhc.bandcamp.com/album/prefeitura,16,updated
panorama-dreams-ep-2015,https://panoramadreams.bandcamp.com/album/panorama-dreams,5,updated
rama---cen-rio,https://rama420.bandcamp.com/album/cen-rio,6,updated
plumarino-orbital-geometry-of-exosolar,https://plumarino.bandcamp.com/album/orbital-geometry-of-exosolar-planetary-systems,6,updated
ricardo-gameiro---rasga-sossego-p-ramo,https://ricardogameiro.bandcamp.com/album/rasga-sossego-p-ramo,2,updated
thiago-david--heitor-dantas---dr--heitor,https://thiagodavid.bandcamp.com/album/dr-heitor,4,updated
ts--ts----sorvedouro,https://tse-tse.bandcamp.com/album/sorvedouro,3,updated
porreria-demanto---split-porreria-demanto,https://demanto.bandcamp.com/album/split-porreria-demanto,5,updated
unbelievable-things---obrigado-por-nada,https://unbelievablethings.bandcamp.com/album/obrigado-por-nada,3,updated
postura-marta-2015,https://posturahardcore.bandcamp.com/album/marta,4,updated
verterah---voc--supernova,https://verterah.bandcamp.com/album/voc-supernova,11,updated
radiotape-enquanto-os-outros-dormem-2015,https://radiotape.bandcamp.com/album/enquanto-os-outros-dormem,4,updated
acavernus---drones,https://acavernus.bandcamp.com/album/drones,2,updated
rakta-rakta-em-transe,https://rakta.bandcamp.com/album/rakta-em-transe-7-s-t,4,updated
acavernus-drones-2020,https://acavernus.bandcamp.com/album/drones,2,updated
refutare-o-mapa-2015,https://refutare.bandcamp.com/album/o-mapa-2,3,updated
acruz-sesper-trio-days-go-by-like,https://acruzsesper.bandcamp.com/album/acruz-sesper-trio-the-days-go-by-like-broken-stairs-2019,10,updated
repetentes-2008-curriculum-tenebrae,https://40porcentofodabarramaneirissimo.bandcamp.com/album/curriculum-tenebrae,2,updated
allen-alencar-aqui-onde,https://allenalencar.bandcamp.com/album/aqui-onde,10,updated
ricardo-dias-gomes-11-2015,https://ricardodiasgomes.bandcamp.com/album/11,12,updated
rivotrio-2mg-quer-um-pouquinho,https://rivotrio2mg.bandcamp.com/album/quer-um-pouquinho,4,updated
boogarins-fefel2020,https://boogarins.bandcamp.com/album/fefel2020,2,updated
ronco-ep-2015,https://roncoficial.bandcamp.com/album/ronco-ep,3,updated
rond-gaspar-barcos-de-papel-2015,https://rondgaspar.bandcamp.com/album/barcos-de-papel,7,updated
cadu-tenorio-room-memoirs,https://cadutenorio.bandcamp.com/album/room-memoirs,5,updated
rsd001---carlos-dias,https://roloseco.bandcamp.com/album/carlos-dias,3,updated
running-like-lions---elephant-supersoul,https://runninglikelions.bandcamp.com/album/elephant-supersoul,3,updated
electric-light-pulp---por-todas-as-pessoas-que-amo,https://electriclightpulp.bandcamp.com/album/por-todas-as-pessoas-que-amo,5,updated
satvrn-satvrn-contato,https://midia84.bandcamp.com/album/contato,5,updated
ema-stoned---vitamin-d,https://emastoned.bandcamp.com/album/vitamin-d,4,updated
senomar-onze,https://polidorodiscos.bandcamp.com/album/onze-2015,10,updated
enema-noise-aquilo-que-ja-e-meu-hora,https://enemanoise.bandcamp.com/album/aquilo-que-j-meu-hora-mais-fria-7-2,4,updated
sentidor-diluvio-2015,https://sentidor.bandcamp.com/album/diluvio,10,updated
etearoma---vol-01-sem-tempo,https://etearoma.bandcamp.com/album/vol-01-sem-tempo,9,updated
simplicio-neto-os-nefelibatas-terror,https://osnefelibatas.bandcamp.com/album/terror-vaudeville-ep-2-2015,6,updated
sound-sapiens-macacos-interligados,https://soundsapiens.bandcamp.com/album/macacos-interligados,12,updated
stupid-planet-behind-sun-untitled-2015,https://spbs.bandcamp.com/album/untitled,5,updated
fffluxus-praticas-subterraneas-2020,https://fffluxus.bandcamp.com/album/pr-ticas-subterr-neas,3,updated
superbad-superbad-2015,https://superbadsoundtrack.bandcamp.com/album/superbad,18,updated
supercordas-terceira-terra,https://balaclavarecords.bandcamp.com/album/terceira-terra,11,updated
gods-punks-and-celestial-ascension,https://godsandpunks.bandcamp.com/album/and-the-celestial-ascension,6,updated
hoovaranas-isolamento,https://hoovaranas.bandcamp.com/album/isolamento-2,8,updated
teenage-buzz-generation-dreams-2015,https://teenagebuzz.bandcamp.com/album/generation-dreams,11,updated
terno-rei---trem-leva-minhas-pernas,https://ternorei.bandcamp.com/album/trem-leva-minhas-pernas,2,updated
the-cigarettes-waste-land,https://thecigarettesmm.bandcamp.com/album/the-waste-land,10,updated
the-flying-tea-company---a-ride-to-the-centre-of-the-meditative-unvierse,https://theflyingteacompany.bandcamp.com/album/a-ride-to-the-centre-of-the-meditative-universe,6,updated
the-fee-sol-voltou-2015,https://thefee.bandcamp.com/album/o-sol-voltou,6,updated
locks---f-rmas-em-temp0,https://locksbrasil.bandcamp.com/album/f-rmas-em-temp0,7,updated
tomodachi-nada-2015,https://tmdch.bandcamp.com/album/nada,4,updated
mario-the-alencar---bike,https://mariothealencar.bandcamp.com/album/bike,4,updated
tomodachi-segundo-ep-2015,https://tmdch.bandcamp.com/album/segundo,10,updated
museu-de-cinzas---monocrom-tico,https://museudecinzas.bandcamp.com/album/monocrom-tico,8,updated
